event_id,county_name,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,injuries_indirect,deaths_indirect
609541,GRAVES CO.,0,0,0,0,0,0
609543,MCCRACKEN CO.,0,0,0,0,0,0
609539,CALLOWAY CO.,0,0,0,0,0,0
610037,NELSON CO.,0,0,0,0,0,0
614625,MAGOFFIN CO.,0,0,0,0,0,0
610050,BOYD CO.,0,0,15000,0,0,0
610051,LAWRENCE CO.,0,0,5000,0,0,0
620472,GRAVES CO.,0,0,0,0,0,0
620474,FULTON CO.,0,0,0,0,0,0
620964,CARLISLE CO.,0,0,0,0,0,0
625665,WEBSTER CO.,0,0,0,0,0,0
625670,HENDERSON CO.,0,0,0,0,0,0
625677,DAVIESS CO.,0,0,0,0,0,0
629182,PERRY CO.,0,0,1000,0,0,0
623516,BREATHITT CO.,0,0,10000,0,0,0
622483,OWEN CO.,1,0,50000,0,0,0
622238,BOYD CO.,0,0,25000,0,0,0
623717,OWSLEY CO.,0,0,1000,0,0,0
623718,MAGOFFIN CO.,0,0,0,0,0,0
623719,FLOYD CO.,0,0,0,0,0,0
630331,DAVIESS CO.,0,0,100000,0,0,0
626571,HARDIN CO.,0,0,0,0,0,0
627331,WOLFE CO.,0,0,1000,1000,0,0
626615,LOGAN CO.,0,0,0,0,0,0
632950,TODD CO.,0,0,40000,0,0,0
626616,LOGAN CO.,0,0,5000,0,0,0
626617,LOGAN CO.,0,0,0,0,0,0
626618,SIMPSON CO.,0,0,0,0,0,0
626619,LOGAN CO.,0,0,0,0,0,0
626620,SIMPSON CO.,0,0,0,0,0,0
624496,JACKSON CO.,0,0,0,0,0,0
626622,LOGAN CO.,0,0,0,0,0,0
626623,WARREN CO.,0,0,0,0,0,0
630213,MCCRACKEN CO.,0,0,0,0,0,0
630215,GRAVES CO.,0,0,0,0,0,0
626624,WARREN CO.,0,0,0,0,0,0
626625,HART CO.,0,0,0,0,0,0
626626,HART CO.,0,0,0,0,0,0
630217,HICKMAN CO.,0,0,0,0,0,0
626627,SIMPSON CO.,0,0,0,0,0,0
626628,SIMPSON CO.,0,0,0,0,0,0
627128,WAYNE CO.,0,0,100,100,0,0
626629,SIMPSON CO.,0,0,0,0,0,0
627685,SIMPSON CO.,0,0,0,0,0,0
627686,LINCOLN CO.,0,0,0,0,0,0
627687,ANDERSON CO.,0,0,0,0,0,0
627690,SIMPSON CO.,0,0,0,0,0,0
627689,SIMPSON CO.,0,0,0,0,0,0
627688,SIMPSON CO.,0,0,0,0,0,0
632683,BULLITT CO.,0,0,0,0,0,0
632140,SIMPSON CO.,0,0,0,0,0,0
632110,BELL CO.,0,0,1000,100,0,0
632112,HARLAN CO.,0,0,500000,5000,0,0
632105,LESLIE CO.,0,0,50000,1000,0,0
632116,ESTILL CO.,0,0,0,0,0,0
633825,OWEN CO.,0,0,0,0,0,0
