event_id,maxtemp_f,mintemp_f,avgtemp_f,maxwind_mph,totalprecip_in,avgvis_miles,avghumidity,uv,daily_will_it_rain,daily_chance_of_rain,condition_text
586026,85.5,69.4,76.2,11.6,0.09,4.0,89,11.8,1,100,Moderate rain at times
586027,85.5,69.4,76.2,11.6,0.09,4.0,89,11.9,1,100,Moderate rain at times
579090,85.1,69.1,75.8,13.2,0.72,5.0,88,8.4,1,100,Moderate rain at times
579074,84.9,69.2,75.8,13.2,0.42,5.0,87,9.2,1,100,Patchy rain possible
586106,85.5,68.4,75.9,13.0,0.78,4.0,89,8.8,1,100,Moderate or heavy rain shower
586028,85.0,67.8,75.2,14.3,0.77,5.0,87,7.5,1,100,Moderate or heavy rain shower
586029,85.0,67.8,75.2,14.3,0.77,5.0,87,7.5,1,100,Moderate or heavy rain shower
586032,84.3,69.3,75.9,14.1,0.43,5.0,87,8.0,1,100,Moderate or heavy rain shower
586033,85.5,68.4,75.9,13.0,0.78,4.0,89,8.8,1,100,Moderate or heavy rain shower
586034,85.0,67.8,75.2,14.3,0.77,5.0,87,7.5,1,100,Moderate or heavy rain shower
586035,85.1,68.8,75.5,15.2,0.53,5.0,86,7.1,1,100,Moderate or heavy rain shower
586036,85.0,67.8,75.2,14.3,0.77,5.0,87,7.5,1,100,Moderate or heavy rain shower
586038,84.3,69.3,75.9,14.1,0.43,5.0,87,8.0,1,100,Moderate or heavy rain shower
586039,85.1,68.8,75.5,15.2,0.53,5.0,86,7.1,1,100,Moderate or heavy rain shower
586144,86.2,72.7,78.0,11.6,0.02,5.0,86,11.9,1,100,Patchy rain possible
586040,85.5,68.3,75.4,13.9,0.67,4.0,88,7.9,1,100,Moderate or heavy rain shower
586041,85.4,68.8,75.8,12.3,0.72,5.0,91,8.6,1,100,Moderate or heavy rain shower
586115,85.5,68.3,75.4,13.9,0.67,4.0,88,7.9,1,100,Moderate or heavy rain shower
586131,85.4,68.8,75.8,12.3,0.72,5.0,91,8.6,1,100,Moderate or heavy rain shower
586110,85.1,70.2,76.4,10.8,0.27,5.0,89,9.9,1,100,Moderate or heavy rain shower
586116,84.1,67.8,74.3,13.6,0.68,5.0,89,7.7,1,100,Moderate or heavy rain shower
586111,85.0,67.8,75.2,14.3,0.77,5.0,87,7.5,1,100,Moderate or heavy rain shower
586113,85.5,68.3,75.4,13.9,0.67,4.0,88,7.9,1,100,Moderate or heavy rain shower
586139,85.5,69.4,76.2,11.6,0.09,4.0,89,11.8,1,100,Moderate rain at times
586130,85.9,68.4,75.6,14.5,0.46,5.0,86,6.8,1,100,Moderate rain at times
586129,85.9,68.4,75.6,14.5,0.46,5.0,86,6.8,1,100,Moderate rain at times
586138,85.5,69.4,76.2,11.6,0.09,4.0,89,11.8,1,100,Moderate rain at times
586133,85.5,68.3,75.4,13.9,0.67,4.0,88,7.9,1,100,Moderate or heavy rain shower
586136,85.5,68.3,75.4,13.9,0.67,4.0,88,7.9,1,100,Moderate or heavy rain shower
586141,85.0,71.4,76.8,11.2,0.15,5.0,86,12.1,1,100,Heavy rain at times
586135,85.8,69.2,76.6,11.6,0.51,5.0,91,10.0,1,100,Moderate or heavy rain shower
586346,90.3,68.9,79.0,7.8,0.23,5.0,77,11.2,1,100,Patchy rain possible
586347,90.3,69.8,79.5,7.4,0.17,5.0,78,11.3,1,100,Moderate rain at times
586349,90.3,68.9,79.0,7.8,0.23,5.0,77,11.2,1,100,Patchy rain possible
594151,90.9,68.5,79.3,7.4,0.1,5.0,78,11.4,1,100,Moderate rain at times
586352,90.3,68.9,79.0,7.8,0.23,5.0,77,11.2,1,100,Patchy rain possible
586353,90.3,68.9,79.0,7.8,0.23,5.0,77,11.1,1,100,Patchy rain possible
579915,90.8,69.9,79.4,7.2,0.62,5.0,77,10.6,1,100,Patchy rain possible
597537,91.8,71.3,80.0,6.5,0.14,5.0,80,12.1,1,100,Moderate or heavy rain shower
589644,91.9,72.6,80.6,6.9,0.35,4.0,80,10.8,1,100,Moderate or heavy rain shower
586365,87.3,71.1,77.3,7.4,0.5,5.0,83,10.6,1,100,Moderate or heavy rain shower
587358,94.3,75.0,84.2,5.6,0.01,5.0,76,11.9,1,100,Patchy rain possible
587357,94.3,75.0,84.2,5.6,0.01,5.0,76,11.9,1,100,Patchy rain possible
585312,92.7,70.1,80.6,5.1,0.43,5.0,75,11.2,1,100,Moderate or heavy rain shower
585307,92.7,70.1,80.6,5.1,0.43,5.0,75,11.2,1,100,Moderate or heavy rain shower
586776,92.7,64.2,76.8,11.6,0.02,6.0,58,11.2,1,100,Moderate rain at times
586777,91.9,63.3,76.8,11.2,0.03,6.0,57,11.3,1,100,Moderate rain at times
586778,92.1,63.4,76.8,11.4,0.03,6.0,57,11.3,1,100,Moderate rain at times
586779,91.9,63.3,76.8,11.2,0.03,6.0,57,11.3,1,100,Moderate rain at times
586780,91.9,63.3,76.8,11.2,0.03,6.0,57,11.3,1,100,Moderate rain at times
587078,92.1,63.7,76.7,11.2,0.05,6.0,57,11.3,1,100,Heavy rain at times
586806,87.8,67.5,76.1,4.3,0.35,6.0,79,11.6,1,100,Moderate or heavy rain shower
593426,84.7,65.2,75.4,11.9,0.87,5.0,80,7.4,1,100,Moderate or heavy rain shower
609266,64.9,58.0,63.6,14.7,0.71,4.0,94,0.2,1,100,Moderate or heavy rain shower
609268,65.7,58.8,63.8,14.8,0.69,3.0,94,0.2,1,100,Moderate or heavy rain shower
609270,64.6,55.5,63.1,17.2,0.81,4.0,94,0.1,1,100,Moderate or heavy rain shower
609271,66.0,60.1,64.3,17.8,0.73,5.0,90,0.1,1,100,Moderate or heavy rain shower
606262,65.3,62.3,63.8,15.0,0.49,4.0,94,0.1,1,100,Moderate or heavy rain shower
607256,60.6,52.9,56.2,5.1,0.86,2.0,98,0.1,1,100,Moderate or heavy rain shower
607257,60.6,52.9,56.2,5.1,0.86,2.0,98,0.1,1,100,Moderate or heavy rain shower
607258,60.6,52.9,56.2,5.1,0.86,2.0,98,0.1,1,100,Moderate or heavy rain shower
612489,62.8,54.7,58.6,6.5,1.44,2.0,98,0.1,1,100,Moderate or heavy rain shower
612490,63.5,57.0,60.4,7.4,1.51,2.0,99,0.1,1,100,Moderate or heavy rain shower
609541,59.2,45.9,51.3,15.5,1.44,5.0,81,0.3,1,100,Moderate or heavy rain shower
609543,59.2,45.9,51.3,15.5,1.44,5.0,81,0.2,1,100,Moderate or heavy rain shower
609539,60.7,46.8,54.1,15.4,1.14,5.0,80,0.3,1,100,Moderate or heavy rain shower
610037,62.8,36.6,49.9,15.5,0.49,5.0,86,1.0,1,100,Heavy rain at times
614625,60.8,41.8,55.6,17.2,1.26,5.0,91,0.5,1,100,Moderate or heavy rain shower
610050,61.6,41.0,55.5,15.7,1.08,5.0,90,0.5,1,100,Moderate or heavy rain shower
